"Player (13 of 15 + 0 of 3 TW)","Pos","Age","Type","Cap Hit","Cap Hit Pct                 League Cap","Base Salary","Incentives                 Likely","Incentives                 Unlikely","Trade Bonus                 Proration","Guaranteed"
"Ball                   LaMelo Ball","PG","25","DRK-EXT","$40,770,520","24.56%","$40,770,520","'-","'-","'-","$40,770,520"
"Bridges                   Miles Bridges","SF","28","FA","$22,826,087","13.75%","$22,826,087","'-","'-","'-","$22,826,087"
"Miller                   Brandon Miller","SF","24","RK-1ST","$15,104,626","9.10%","$15,104,626","'-","'-","'-","$15,104,626"
"Green                   Josh Green","SG","26","RK-EXT","$14,679,012","8.84%","$14,679,012","'-","'-","'-","$14,679,012"
"Williams                   Grant Williams","PF","28","S&T","$14,265,750","8.59%","$14,265,750","'-","'-","'-","$14,265,750"
"Knueppel                   Kon Knueppel","SF","21","RK-1ST","$10,516,560","6.34%","$10,516,560","'-","'-","'-","$10,516,560"
"Salaun                   Tidjane Salaun","PF","21","RK-1ST","$8,237,880","4.96%","$8,237,880","'-","'-","'-","$8,237,880"
"Mann                   Tre Mann","PG","25","FA","$8,000,000","4.82%","$8,000,000","'-","'-","'-","$8,000,000"
"Connaughton                   Pat Connaughton","SG","34","ROS","$3,815,861","2.30%","$3,815,861","'-","'-","'-","'-"
"McNeeley                   Liam McNeeley","SF","21","RK-1ST","$2,902,080","1.75%","$2,902,080","'-","'-","'-","$2,902,080"
"Diabate                   Moussa Diabate","PF","25","ROS","$2,461,462","1.48%","$2,461,462","'-","'-","'-","'-"
"Kalkbrenner                   Ryan Kalkbrenner","C","25","RK-2ND","$2,411,090","1.45%","$2,411,090","'-","'-","'-","$2,411,090"
"James                   Sion James","SF","24","RK-2ND","$2,411,090","1.45%","$2,411,090","'-","'-","'-","$2,411,090"

