"Player (10)","Pos","","","Cap Hit","Cap Hit Pct                 League Cap","","","","",""
"Farmar                   Jordan Farmar","PG","","","$1,764,701","2.80%","","","","",""
"Delfino                   Carlos Delfino","SG","","","$650,000","1.03%","","","","",""
"Raduljica                   Miroslav Raduljica","C","","","$252,042","0.40%","","","","",""
"Jones                   Dahntay Jones","SF","","","$85,205","0.14%","","","","",""
"Hamilton                   Jordan Hamilton","SF","","","$53,838","0.09%","","","","",""
"Hamilton                   Jordan Hamilton","SF","","","$53,838","0.09%","","","","",""
"Hudson                   Lester Hudson","PG","","","$53,838","0.09%","","","","",""
"Robinson                   Nate Robinson","PG","","","$53,838","0.09%","","","","",""
"Robinson                   Nate Robinson","PG","","","$53,838","0.09%","","","","",""
"Jones                   Dahntay Jones","SF","","","$53,838","0.09%","","","","",""

